media,budget_manwon,run_days,age_group,views,click_count,signup_count,return_rate_percent
검색,5777,72,10대,390278,10365,573,-2.09
SNS,18898,25,40·50대,1268591,32930,2829,21.19
방송,9092,53,40·50대,996206,21770,2045,101.48
검색,5701,50,전연령,547170,13221,973,68.27
SNS,4899,28,20·30대,473532,9183,825,71.08
검색,3175,66,전연령,338402,8387,355,10.04
SNS,3628,71,20·30대,308583,2743,178,-52.82
라디오,3048,78,40·50대,198605,1781,82,-75.23
방송,13529,63,전연령,1036382,15429,904,-59.33
검색,7847,77,10대,571760,10554,515,-36.62
검색,,59,20·30대,498943,7875,825,47.01
검색,17606,,40·50대,1226658,22733,1950,27.37
검색,7820,43,전연령,646954,14041,1127,26.38
SNS,15241,66,20·30대,1208644,24086,1313,-8.71
라디오,10847,89,40·50대,672475,11211,926,-15.84
방송,19741,,20·30대,1484882,24315,1772,-12.43
라디오,6428,14,20·30대,387485,6426,520,-34.60
SNS,3193,85,20·30대,179265,5627,656,101.49
라디오,11553,64,전연령,815483,11900,724,-38.95
검색,4374,89,전연령,401661,12403,515,10.88
방송,13191,48,20·30대,1090352,23627,2201,58.19
SNS,10166,51,20·30대,1092936,28809,3213,182.00
방송,15734,73,20·30대,1324221,11715,1238,-31.67
SNS,13653,76,10대,996857,28935,1269,-33.53
라디오,15654,14,40·50대,999738,22037,1640,7.76
SNS,11552,13,40·50대,1276447,22378,1495,-20.76
SNS,10394,65,20·30대,892582,20027,1273,18.12
라디오,4508,14,40·50대,342137,5693,528,-7.40
SNS,16235,9,전연령,972225,30810,1400,-23.68
검색,16415,87,20·30대,1545745,34201,4515,109.42
라디오,19039,89,20·30대,1165062,20003,2260,4.92
SNS,9693,34,10대,792727,13079,688,-40.60
방송,14902,11,전연령,1117364,26729,1083,-29.74
SNS,8821,89,20·30대,742068,9977,1055,10.21
방송,,12,40·50대,134285,2346,182,-48.36
SNS,6269,77,40·50대,363164,9665,984,50.68
라디오,12144,35,20·30대,802938,11170,826,-42.49
라디오,7164,31,20·30대,517018,8620,629,-43.51
SNS,10301,12,40·50대,927171,20275,1825,52.02
검색,15493,24,10대,1815942,35327,2953,58.86
검색,8807,84,20·30대,553952,21121,1743,42.83
라디오,8254,35,10대,467158,7510,414,-72.96
라디오,11314,,40·50대,563434,10505,1311,-13.46
라디오,4347,77,20·30대,213575,3795,352,-24.70
검색,548,82,40·50대,49451,1975,117,124.00
라디오,7620,47,40·50대,316988,4791,168,-83.90
