maker,used_years,total_distance_km,power_source,displacement_cc,max_power_ps,fuel_economy_kmpl,repair_count,body_color,trim_level,resale_price_manwon
다온,14,217920,경유,3177,286,11.0,0,블랙,플러스,957.8
다온,10,140376,하이브리드,1317,111,17.6,0,그외,프리미엄,1436.9
,4,900,경유,1789,203,20.4,1,블랙,프리미엄,5848.2
가온,5,116222,전기,1373,207,19.7,1,그외,스탠다드,2596.1
다온,14,128073,전기,3286,391,13.7,1,블랙,프리미엄,903.2
라온,4,88702,전기,1832,174,19.4,1,실버,프리미엄,4611.3
한빛,1,62775,하이브리드,3497,339,9.2,0,실버,프리미엄,8091.7
라온,8,237610,경유,2789,288,10.2,0,블랙,스탠다드,2327.4
한빛,10,153671,하이브리드,1546,151,17.0,0,그외,스탠다드,1492.1
다온,9,194240,전기,2549,212,17.5,2,실버,프리미엄,2084.9
가온,9,113421,전기,2171,151,9.8,0,블랙,스탠다드,1371.7
라온,12,186807,경유,4039,430,3.3,2,화이트,프리미엄,2037.0
라온,4,68238,휘발유,980,103,17.5,0,블랙,스탠다드,2466.1
한빛,11,153794,경유,1786,170,19.5,0,블랙,플러스,2252.6
라온,1,900,전기,2159,236,15.9,2,실버,프리미엄,6564.6
한빛,5,84538,휘발유,1826,154,12.1,0,블랙,스탠다드,2261.2
라온,5,92881,경유,1694,209,14.6,0,그외,플러스,4045.7
한빛,1,16815,휘발유,3467,333,10.8,0,실버,스탠다드,4232.0
가온,0,4671,하이브리드,2327,225,19.1,0,화이트,프리미엄,9790.4
한빛,6,122007,경유,4145,364,13.1,0,블랙,스탠다드,3353.1
한빛,13,161905,하이브리드,3856,424,11.6,3,그외,플러스,705.2
한빛,6,117641,하이브리드,3202,308,12.4,3,화이트,플러스,2688.2
라온,15,264670,하이브리드,1282,147,23.5,2,실버,플러스,228.0
다온,3,91041,전기,3366,391,10.5,0,화이트,프리미엄,5417.3
다온,7,113637,하이브리드,3494,322,7.9,4,실버,플러스,1723.2
한빛,7,84314,전기,2550,198,22.0,1,블랙,스탠다드,2039.4
다온,5,117224,휘발유,2515,201,10.5,1,블랙,플러스,2175.3
,13,195390,,2385,197,15.4,0,블랙,,1141.1
한빛,8,185157,경유,1341,120,16.5,3,블랙,스탠다드,1524.4
가온,0,33806,휘발유,2529,236,17.5,0,그외,스탠다드,5410.7
한빛,10,131996,하이브리드,2096,244,14.2,0,화이트,플러스,1952.2
한빛,10,113267,전기,4200,418,3.1,0,그외,플러스,1856.4
,6,149751,하이브리드,2102,194,16.3,0,화이트,프리미엄,3325.4
라온,1,46988,하이브리드,2231,242,14.5,0,실버,플러스,5415.9
한빛,5,63920,휘발유,2916,293,11.4,2,블랙,플러스,2425.6
한빛,0,53865,하이브리드,3017,285,10.5,1,화이트,플러스,6837.7
한빛,6,117715,경유,2539,322,18.5,0,블랙,스탠다드,3381.0
다온,7,107316,경유,3153,339,10.5,0,실버,스탠다드,2395.8
한빛,6,99381,,2173,246,13.8,4,화이트,스탠다드,1621.6
다온,5,113744,휘발유,3474,309,6.3,2,그외,스탠다드,2045.6
라온,13,137828,전기,2207,204,9.5,0,블랙,스탠다드,804.1
라온,7,154030,전기,2335,262,21.8,3,화이트,프리미엄,2926.3
한빛,10,175952,휘발유,1604,140,18.4,1,블랙,플러스,760.2
가온,1,65727,경유,980,131,20.6,0,블랙,스탠다드,6247.6
,9,93596,하이브리드,4200,430,7.1,0,그외,플러스,1067.8
한빛,2,25445,경유,1502,136,18.2,0,실버,,6926.6
라온,8,94932,전기,2854,312,9.5,4,실버,프리미엄,2293.5
다온,12,169643,하이브리드,4146,409,3.6,1,블랙,프리미엄,1312.8
다온,2,20685,전기,2765,194,13.5,2,,플러스,4350.1
라온,12,136365,경유,2956,325,11.9,1,실버,플러스,1091.3
라온,13,108388,전기,2027,217,16.7,0,그외,프리미엄,1234.5
라온,3,119121,하이브리드,3828,386,8.7,3,블랙,플러스,3717.9
라온,2,900,하이브리드,3285,301,5.0,3,블랙,스탠다드,3089.1
다온,13,185149,휘발유,3560,375,15.3,0,블랙,플러스,1063.6
가온,3,30164,하이브리드,2592,260,9.5,0,화이트,플러스,4690.2
라온,11,116252,하이브리드,3150,247,11.6,2,화이트,스탠다드,1289.3
다온,14,197712,경유,980,149,21.7,0,실버,프리미엄,738.5
한빛,0,41136,경유,3960,376,8.8,3,그외,프리미엄,11211.8
라온,12,156469,경유,2358,259,21.6,1,블랙,프리미엄,1749.4
한빛,11,119202,전기,980,70,22.1,3,실버,프리미엄,1514.0
가온,4,67675,하이브리드,2991,285,9.5,1,,스탠다드,3142.0
라온,11,53257,휘발유,3189,301,10.9,0,그외,플러스,1041.3
한빛,1,103036,하이브리드,1852,220,15.8,0,화이트,프리미엄,7540.6
라온,13,180712,휘발유,3114,303,6.9,0,화이트,플러스,979.7
가온,14,216517,휘발유,3719,365,9.8,0,실버,스탠다드,617.9
가온,10,234181,하이브리드,980,89,13.1,0,그외,플러스,1308.5
한빛,2,900,휘발유,1934,146,16.8,0,실버,스탠다드,3847.9
가온,8,143134,경유,4200,417,4.2,0,화이트,프리미엄,4391.2
한빛,12,158898,전기,3851,379,4.3,0,화이트,프리미엄,1697.2
라온,2,900,휘발유,3687,344,13.0,0,실버,프리미엄,5698.8
다온,8,135727,하이브리드,2621,201,9.8,0,실버,플러스,1439.9
다온,8,75802,경유,3028,262,8.9,0,실버,프리미엄,3105.2
가온,11,213777,전기,2869,335,9.4,2,실버,플러스,1212.8
라온,15,213422,하이브리드,1360,259,19.2,4,블랙,플러스,419.7
라온,3,132040,경유,2638,314,6.9,2,화이트,,4477.4
가온,5,165276,휘발유,3013,326,7.8,0,실버,플러스,3026.7
라온,10,133760,휘발유,1767,193,15.7,1,실버,프리미엄,1252.1
다온,13,174541,경유,2020,223,14.3,0,실버,플러스,987.4
다온,9,35659,휘발유,2576,232,10.2,1,화이트,프리미엄,1739.9
다온,1,11814,휘발유,1776,199,14.7,0,실버,프리미엄,5738.6
한빛,4,7912,전기,3030,310,7.0,0,그외,스탠다드,3496.0
한빛,2,22628,경유,1618,178,21.7,0,블랙,프리미엄,8560.1
다온,5,89748,하이브리드,980,90,19.0,1,블랙,프리미엄,2932.5
다온,15,184757,하이브리드,2792,248,12.1,1,그외,스탠다드,429.0
다온,7,157598,휘발유,2151,183,18.6,0,블랙,스탠다드,1304.8
라온,0,900,하이브리드,2174,264,14.2,0,화이트,프리미엄,8577.0
가온,7,155256,전기,2234,234,9.2,0,블랙,프리미엄,3235.1
한빛,4,69055,전기,2581,299,11.3,1,그외,스탠다드,3435.2
가온,12,197710,전기,3321,286,9.9,4,블랙,스탠다드,527.7
가온,15,261102,전기,1677,141,13.9,0,블랙,스탠다드,823.5
,1,9493,하이브리드,1196,119,15.9,2,그외,스탠다드,3386.8
한빛,15,187971,전기,980,113,18.6,0,실버,플러스,764.0
한빛,7,117244,전기,2809,252,5.9,0,블랙,플러스,2544.4
한빛,12,173615,전기,1640,171,19.8,0,블랙,스탠다드,839.2
라온,1,101305,전기,1204,140,22.1,0,실버,플러스,5576.1
가온,9,138908,경유,1256,148,13.7,3,그외,프리미엄,2559.5
한빛,8,124049,휘발유,1679,150,17.8,2,그외,스탠다드,1189.3
가온,0,900,휘발유,1734,193,16.7,0,실버,스탠다드,5151.3
한빛,5,28247,경유,2303,264,15.7,0,블랙,스탠다드,3123.7
가온,0,900,경유,2992,245,12.4,0,블랙,스탠다드,8814.3
,11,150012,하이브리드,3865,412,8.2,3,블랙,프리미엄,1233.4
한빛,5,75639,전기,1265,70,17.5,0,블랙,프리미엄,4085.5
다온,0,35107,전기,1837,188,13.4,0,블랙,스탠다드,5059.4
한빛,5,137085,하이브리드,1201,106,23.0,0,화이트,스탠다드,2429.1
한빛,13,219657,휘발유,2965,262,9.8,1,블랙,프리미엄,1411.0
다온,1,900,휘발유,2575,246,16.5,0,실버,플러스,4296.4
한빛,10,162597,경유,1807,259,11.0,3,실버,플러스,1739.7
라온,9,114271,전기,3030,376,14.7,0,실버,프리미엄,2337.4
가온,15,237104,휘발유,2425,242,11.9,2,화이트,스탠다드,838.8
라온,13,261377,휘발유,1428,187,22.5,0,블랙,스탠다드,540.6
한빛,12,153822,휘발유,1846,192,22.7,0,블랙,프리미엄,1347.8
라온,10,162161,경유,3323,272,12.4,0,실버,스탠다드,1905.1
한빛,14,199435,전기,2516,227,10.2,0,화이트,스탠다드,664.3
다온,6,82246,경유,3496,400,5.2,0,실버,프리미엄,4405.3
라온,6,77806,휘발유,3113,328,12.5,3,블랙,플러스,1958.4
한빛,4,32927,전기,2052,206,15.1,0,화이트,스탠다드,2787.7
한빛,11,154998,휘발유,2509,281,11.9,0,그외,스탠다드,1024.6
가온,14,241440,하이브리드,2009,231,16.9,0,블랙,프리미엄,1172.1
한빛,12,201804,경유,1981,242,6.4,0,실버,플러스,1408.7
다온,14,226020,휘발유,2553,219,11.7,3,블랙,플러스,587.7
다온,11,62185,,2519,240,13.4,2,그외,플러스,1009.7
다온,5,109038,전기,2472,271,13.0,0,화이트,프리미엄,4275.7
한빛,0,19242,,1321,153,21.2,1,블랙,프리미엄,8639.9
한빛,2,3244,휘발유,2358,256,12.3,1,그외,,5182.9
,14,185936,하이브리드,2894,344,9.5,0,그외,프리미엄,1543.9
라온,12,175043,경유,2816,311,10.6,2,화이트,프리미엄,2085.0
한빛,11,130960,휘발유,3560,290,7.4,0,화이트,스탠다드,1228.0
한빛,8,148697,휘발유,2658,254,10.1,0,화이트,플러스,2075.3
한빛,13,138645,전기,3057,354,14.1,0,그외,프리미엄,1899.5
가온,2,900,경유,1894,179,15.5,1,블랙,스탠다드,5738.4
한빛,3,30433,휘발유,3373,324,7.6,3,그외,스탠다드,2595.2
가온,14,291932,하이브리드,3813,384,11.5,2,실버,스탠다드,854.5
다온,12,147376,전기,2806,257,13.6,1,화이트,프리미엄,1364.0
라온,15,256294,전기,2634,230,12.7,1,그외,스탠다드,596.6
한빛,13,264362,경유,1601,118,16.0,0,블랙,프리미엄,1530.2
다온,5,40484,경유,3856,339,8.8,0,화이트,플러스,3920.7
가온,2,57574,휘발유,4191,390,7.7,3,실버,프리미엄,5834.1
가온,4,39024,휘발유,2793,309,16.3,0,,플러스,3242.0
다온,4,55952,전기,1100,97,23.9,2,실버,플러스,3242.4
가온,14,253703,경유,1467,92,18.5,0,블랙,프리미엄,1342.2
다온,2,900,경유,4200,430,5.9,2,실버,프리미엄,7920.0
가온,8,155264,,3358,341,14.5,0,블랙,프리미엄,3269.0
가온,10,230958,경유,3608,310,12.0,0,화이트,플러스,2144.9
가온,0,19619,휘발유,2952,209,13.1,3,화이트,프리미엄,7238.7
라온,6,87865,하이브리드,3494,334,9.1,3,화이트,스탠다드,2173.2
한빛,12,248890,전기,1378,207,13.1,2,블랙,스탠다드,687.0
다온,14,183512,하이브리드,1106,103,15.6,2,블랙,플러스,846.6
