rain_mm_year,mean_temp,sun_hours,soil_kind,soil_ph,fertilizer,n_level,p_level,k_level,output_kg_per_ha
500,26.0,1771,사질토,7.9,칼리,49.06,36.01,29.01,1648
1914,23.4,2022,사질토,6.1,질소,68.70,11.96,24.31,2599
1774,21.3,1819,점토,5.3,질소,52.34,34.30,8.49,2226
1010,9.9,2127,사질토,7.0,복합,70.56,9.82,38.20,1851
1838,25.4,2152,사질토,6.7,복합,15.22,30.06,40.74,2392
977,12.0,2084,점토,8.1,칼리,68.29,13.73,24.67,1813
1682,12.1,1483,사질토,7.4,인산,53.66,33.51,20.45,2189
868,10.7,1717,점토,7.2,복합,25.87,17.14,46.68,1810
1073,14.3,2329,점토,6.5,칼리,84.53,6.41,44.47,1863
1536,20.2,2287,점토,6.6,인산,72.08,49.70,8.55,1942
948,18.8,2182,사질토,7.2,복합,74.32,7.38,13.10,2011
1137,16.1,2663,사질토,5.9,칼리,16.67,11.16,10.44,2055
746,26.0,1822,사질토,6.0,복합,59.79,28.23,31.85,1963
1459,26.0,1957,점토,7.3,질소,27.52,48.87,24.79,1890
1808,14.5,2156,사질토,7.7,인산,74.28,44.88,17.21,2270
1258,18.5,2445,점토,6.6,칼리,84.09,43.60,5.75,2091
518,,2398,점토,6.7,질소,85.78,9.64,7.76,1705
1518,10.0,2247,점토,6.4,인산,75.60,27.45,7.11,2005
963,12.9,1499,사질토,7.3,칼리,88.45,12.78,31.21,1782
1905,13.4,2702,점토,6.4,칼리,19.29,24.38,44.24,2580
746,18.9,1703,점토,6.3,칼리,54.05,33.39,11.19,1790
1779,15.3,1969,사질토,7.7,칼리,11.86,9.06,26.31,1971
1083,13.1,3049,사질토,6.2,질소,40.61,23.76,20.58,2419
1987,15.0,2953,양토,5.9,복합,49.94,34.39,6.66,2764
1826,9.5,2883,양토,5.7,칼리,92.25,10.01,43.22,2585
1262,13.5,2748,점토,7.0,복합,30.65,39.81,36.25,1964
592,,2323,사질토,7.8,복합,34.96,13.79,10.88,1951
1268,18.4,1944,점토,6.3,인산,10.11,12.57,21.75,1921
1025,21.0,1669,점토,5.3,인산,60.72,31.96,41.67,1702
949,16.8,2854,점토,7.1,칼리,12.01,38.33,25.02,1971
1710,26.0,1484,점토,7.8,복합,97.94,23.27,35.68,2045
1725,23.0,2394,사질토,6.0,복합,32.97,42.38,27.91,2403
1210,15.4,2649,사질토,5.4,질소,34.95,25.87,11.14,1952
1582,16.9,2463,양토,6.1,인산,81.11,45.10,24.65,2399
1454,16.8,2902,사질토,5.9,질소,67.20,21.09,18.29,2395
876,16.1,1471,양토,7.8,복합,71.54,28.50,24.26,2371
1218,25.6,2148,사질토,5.8,질소,28.23,31.77,8.15,1864
1823,12.5,2834,사질토,4.9,칼리,42.00,28.11,22.60,2543
1900,16.1,2238,사질토,6.1,칼리,26.41,36.21,20.17,2322
1797,11.8,2554,사질토,6.6,질소,61.26,10.88,20.43,2640
1388,16.4,1856,양토,7.2,복합,81.80,31.10,7.45,2506
644,14.5,2786,점토,5.8,복합,20.83,25.00,27.16,1583
550,16.7,,점토,6.1,복합,83.88,46.18,20.84,1810
830,16.7,2087,사질토,6.5,인산,66.70,34.05,45.98,1845
1191,19.9,2579,점토,6.5,인산,18.53,44.57,9.39,2121
1450,21.7,2436,사질토,6.2,칼리,20.95,14.02,32.12,2308
1201,18.2,,점토,6.7,복합,13.07,35.35,37.42,1928
810,13.9,1668,점토,6.7,질소,43.89,26.56,13.43,1802
1621,13.3,3040,사질토,6.1,인산,35.71,11.66,45.61,2590
991,17.5,3043,사질토,6.2,칼리,71.67,7.93,13.27,2189
1848,18.0,2439,점토,5.0,칼리,19.98,6.03,41.68,2264
1856,21.6,1709,양토,7.7,칼리,50.25,46.23,41.44,2376
538,23.5,2313,사질토,5.5,복합,82.95,27.51,8.92,2015
1027,13.7,2839,사질토,7.6,인산,42.26,48.69,49.84,1992
1237,12.6,1500,양토,6.0,칼리,91.70,28.88,42.53,2266
657,14.5,2289,양토,7.4,칼리,95.98,44.13,30.12,2166
1732,15.3,1545,양토,6.9,복합,18.54,40.82,9.40,2548
1260,10.5,1741,사질토,7.4,칼리,52.12,24.16,8.92,2150
1368,15.2,1653,사질토,6.6,복합,38.55,15.96,33.54,2088
638,21.7,2549,사질토,5.7,복합,38.05,20.57,14.91,1970
720,17.8,2558,양토,7.3,칼리,92.47,31.66,48.14,1883
1825,19.5,1508,사질토,6.2,복합,16.57,40.83,41.80,2486
1581,17.8,1974,양토,7.0,인산,43.61,15.08,30.32,2401
2049,22.1,2648,사질토,7.7,칼리,29.50,17.17,7.78,2662
1446,26.0,2456,사질토,7.2,질소,39.55,6.64,36.93,2379
1241,13.5,1629,사질토,6.8,복합,74.82,11.61,49.52,2303
1634,18.3,1905,사질토,7.0,질소,17.72,15.90,35.26,2230
1407,14.2,2251,사질토,6.5,복합,81.68,37.62,40.14,2484
572,,2715,양토,5.3,복합,96.40,7.65,28.83,1996
1689,26.0,2103,사질토,7.6,인산,26.38,44.51,43.12,2129
1065,20.8,1956,사질토,6.8,질소,19.46,38.88,7.30,1906
1165,23.3,2144,사질토,6.6,복합,62.67,30.33,48.89,2345
1635,17.7,2995,양토,6.9,질소,31.03,16.77,49.87,2555
705,,2758,사질토,7.5,질소,70.19,43.52,21.81,2028
1365,12.1,2280,양토,6.7,칼리,47.15,19.99,8.03,2167
1184,15.6,1906,점토,6.5,인산,19.16,19.01,23.04,1831
1832,24.3,1733,점토,5.7,복합,54.85,49.09,25.92,2297
617,16.2,2793,사질토,6.5,칼리,76.69,31.42,43.83,1671
1176,13.2,1542,양토,6.7,질소,29.87,41.43,42.15,2312
972,16.3,1529,점토,5.7,질소,19.05,23.75,40.96,1808
1001,9.5,2268,점토,6.6,질소,45.06,11.77,27.44,1799
1808,19.2,1582,양토,5.8,칼리,34.44,30.07,49.03,2648
1900,16.6,2024,사질토,6.2,복합,91.51,14.80,40.01,2362
1321,16.7,2984,사질토,4.8,질소,54.40,21.93,33.01,2256
1295,16.0,1862,사질토,4.8,칼리,48.12,33.85,35.83,2172
908,9.5,1728,양토,6.9,칼리,45.64,17.63,17.96,2003
1455,9.5,1456,점토,7.2,인산,82.70,30.48,31.44,1793
