study_hours_week,attend_percent,extra_class,track,midterm_point,homework_avg,online_lecture_count,club_join,final_point
12,76.4,없음,공학,19.1,62.0,35,있음,41.0
28,82.0,없음,예술,52.2,61.0,5,있음,47.6
10,75.5,없음,예술,44.1,58.0,48,있음,54.4
22,90.5,없음,자연,78.2,73.7,1,있음,73.6
6,100.0,없음,자연,33.0,78.0,2,없음,41.6
3,53.6,없음,자연,0.0,92.4,21,없음,37.0
38,69.6,있음,어문,93.6,88.9,1,없음,70.8
41,95.6,있음,자연,73.3,64.5,27,있음,58.1
9,100.0,없음,예술,41.5,77.9,48,없음,36.0
34,81.6,있음,자연,75.5,95.4,32,있음,64.8
35,87.6,없음,사회,65.6,77.0,16,없음,60.4
10,77.3,없음,예술,58.0,65.7,47,있음,60.3
1,50.5,없음,자연,27.5,82.8,3,있음,34.6
17,69.1,없음,공학,30.5,74.5,31,없음,49.1
38,73.1,없음,어문,100.0,92.4,51,없음,63.6
27,58.9,없음,자연,55.5,80.5,43,있음,57.3
36,64.9,있음,어문,70.0,75.6,26,없음,62.0
36,98.4,없음,공학,70.5,80.5,28,있음,71.0
11,97.1,없음,어문,53.8,93.1,38,없음,70.5
10,62.6,있음,어문,15.5,91.8,11,없음,45.4
14,57.9,없음,공학,44.2,88.4,3,없음,49.0
22,86.4,없음,공학,66.0,59.5,39,있음,62.1
12,60.8,있음,어문,43.7,61.4,20,있음,55.1
6,78.6,있음,예술,25.8,83.1,41,없음,39.6
36,88.6,없음,사회,54.4,92.0,35,있음,56.5
14,94.9,없음,사회,52.0,86.3,45,있음,48.5
39,70.9,없음,어문,71.0,58.7,13,있음,66.3
6,89.9,없음,어문,32.3,81.9,46,없음,44.3
18,73.7,없음,어문,56.2,80.3,0,없음,59.5
41,61.7,없음,어문,85.5,74.6,25,있음,51.6
40,71.7,없음,자연,60.3,62.5,0,없음,66.5
3,66.9,없음,공학,21.1,71.6,26,없음,45.5
10,100.0,없음,공학,33.6,68.6,13,없음,42.6
7,78.5,없음,자연,50.0,89.9,48,없음,39.1
6,69.7,있음,어문,49.2,67.7,35,있음,48.9
14,90.0,있음,예술,15.5,73.7,10,있음,20.4
7,92.3,없음,사회,30.8,94.9,46,없음,40.8
40,93.2,없음,공학,73.4,85.3,51,있음,74.7
12,59.4,있음,예술,,77.9,19,있음,38.1
5,83.1,없음,자연,32.1,69.2,18,없음,50.1
1,68.9,없음,사회,0.0,69.4,39,없음,37.8
27,68.6,없음,공학,50.1,100.0,36,있음,59.9
32,76.4,없음,사회,75.6,90.7,44,있음,71.0
41,71.0,있음,어문,77.0,78.0,15,없음,64.5
10,70.2,있음,자연,24.5,65.8,40,있음,34.7
34,52.3,있음,자연,86.0,70.8,47,없음,88.9
39,100.0,있음,어문,,63.4,45,있음,74.1
34,83.9,있음,공학,82.4,66.8,0,없음,68.3
14,85.0,있음,공학,54.6,92.1,4,없음,48.3
26,76.9,있음,공학,47.1,78.5,40,없음,65.0
31,79.7,없음,예술,63.2,83.6,49,있음,42.9
20,100.0,없음,어문,72.5,82.8,32,없음,67.1
24,70.2,있음,예술,80.4,89.2,19,있음,71.3
38,73.3,있음,어문,80.7,74.6,27,있음,74.8
37,50.0,있음,자연,79.4,90.8,38,있음,61.1
37,62.3,없음,사회,88.4,71.6,13,있음,72.2
36,51.9,없음,사회,82.0,69.4,47,없음,73.8
22,57.3,없음,자연,36.0,84.8,34,있음,50.6
33,81.5,없음,어문,47.0,79.6,45,없음,51.7
9,81.6,없음,어문,40.6,81.2,9,없음,40.5
34,48.0,있음,사회,89.1,81.8,39,있음,74.7
37,81.9,있음,공학,100.0,75.7,49,없음,78.4
30,67.2,없음,어문,63.8,95.5,29,있음,65.0
13,100.0,없음,어문,48.2,95.7,29,있음,54.5
36,49.5,있음,예술,87.0,95.8,39,없음,70.9
1,82.7,없음,어문,18.6,76.8,38,없음,31.8
36,100.0,있음,예술,60.0,75.9,6,있음,61.1
12,86.6,없음,어문,37.6,91.3,16,없음,55.0
11,73.1,없음,자연,36.8,63.0,0,있음,52.2
21,71.0,없음,공학,,74.5,33,있음,49.9
3,90.3,있음,어문,27.7,77.1,40,있음,39.9
12,80.2,없음,예술,43.8,70.7,1,있음,46.7
1,100.0,없음,자연,28.1,68.3,39,없음,36.0
21,97.8,있음,어문,65.5,84.2,10,없음,59.0
24,66.1,없음,어문,52.0,94.2,23,없음,61.2
32,51.4,없음,자연,66.2,66.0,12,있음,57.9
40,67.3,있음,사회,82.4,76.5,23,,71.8
40,77.3,없음,사회,90.8,63.7,26,없음,87.6
3,88.4,없음,어문,29.7,75.6,21,없음,35.0
26,88.7,없음,사회,54.8,58.0,1,있음,39.8
30,74.8,없음,공학,56.8,62.9,33,있음,56.1
24,48.0,없음,공학,50.3,100.0,0,있음,65.3
5,81.6,있음,공학,31.8,80.5,47,있음,40.3
21,80.8,없음,공학,38.7,100.0,23,없음,38.4
21,80.2,없음,예술,60.8,71.5,12,있음,68.0
12,61.5,없음,예술,14.7,58.0,15,없음,12.6
22,62.9,있음,공학,52.9,82.6,11,없음,55.1
39,64.1,있음,사회,100.0,91.0,2,있음,69.9
37,74.7,있음,사회,74.5,71.6,26,없음,80.0
5,89.2,있음,어문,43.2,86.8,30,있음,45.6
12,70.9,없음,사회,55.1,100.0,15,없음,47.5
32,71.8,없음,자연,60.8,76.1,48,있음,58.4
11,69.9,없음,어문,32.6,84.3,18,있음,32.7
23,100.0,없음,자연,58.6,100.0,29,없음,53.7
1,84.4,없음,사회,28.9,58.3,35,있음,37.2
33,51.1,없음,예술,84.8,99.8,39,있음,51.9
2,88.6,있음,사회,27.0,84.3,13,있음,45.2
13,76.7,있음,어문,51.4,90.0,17,없음,52.3
26,89.1,없음,자연,53.1,72.1,37,없음,64.3
16,76.7,있음,자연,57.4,82.1,13,없음,58.5
6,77.2,있음,사회,29.2,64.0,13,없음,44.4
4,69.2,없음,어문,26.9,89.4,2,없음,33.0
10,62.6,있음,예술,15.8,59.2,36,있음,35.6
22,58.2,있음,공학,47.6,85.4,31,있음,43.9
8,73.4,없음,어문,35.5,81.1,46,없음,52.1
34,98.7,없음,사회,74.3,91.3,19,없음,51.2
37,88.7,없음,사회,67.2,100.0,13,있음,64.3
15,85.2,없음,공학,40.3,84.0,27,없음,53.7
22,58.7,없음,예술,58.2,79.8,47,없음,48.4
15,71.2,있음,사회,62.6,94.6,41,없음,59.5
20,79.9,있음,예술,43.7,100.0,36,없음,55.3
6,74.7,없음,사회,25.9,59.1,7,없음,35.4
6,64.3,없음,자연,10.5,79.6,0,있음,52.7
31,84.2,있음,사회,59.1,67.3,26,있음,46.4
29,68.4,없음,공학,36.8,62.7,8,있음,42.3
26,55.0,없음,어문,50.0,75.0,1,있음,49.2
18,50.7,없음,어문,51.5,66.7,18,없음,58.9
41,100.0,없음,사회,93.0,83.6,40,없음,74.4
22,70.1,없음,자연,53.7,86.2,48,없음,58.1
30,77.2,있음,공학,71.3,86.0,46,있음,69.5
27,87.4,있음,사회,74.4,80.0,3,있음,51.2
7,63.9,없음,자연,27.8,87.6,26,,54.0
9,48.1,있음,어문,11.5,69.6,40,있음,27.6
