home_id,district,floor_area_sqm,room_count,bath_count,built_years
1,솔빛구,143,4,2,13
2,별빛구,176,5,3,8
3,한들구,61,2,1,22
4,한들구,128,3,2,15
5,그외,122,5,3,9
6,미르구,130,4,2,20
7,별빛구,46,1,1,36
8,그외,94,2,1,24
9,솔빛구,89,2,1,11
10,미르구,92,3,2,34
11,한들구,45,2,1,29
12,별빛구,122,3,1,9
13,그외,107,3,2,7
14,별빛구,78,3,2,10
15,별빛구,100,3,1,33
16,미르구,51,2,1,13
17,한들구,103,3,2,12
18,솔빛구,45,1,1,9
19,별빛구,77,2,1,28
20,한들구,129,4,2,13
21,한들구,124,3,1,1
22,별빛구,45,1,1,25
23,별빛구,114,3,3,14
24,한들구,84,3,2,
25,솔빛구,45,2,,25
26,미르구,152,4,3,35
27,솔빛구,198,5,3,8
28,솔빛구,146,5,2,18
29,미르구,145,4,1,23
30,솔빛구,60,2,1,25
31,별빛구,141,4,2,1
32,미르구,126,4,,14
33,그외,189,6,2,39
34,그외,91,2,1,8
35,솔빛구,74,2,1,30
36,그외,123,4,2,31
37,솔빛구,106,3,1,28
38,한들구,116,3,2,26
39,한들구,85,3,1,19
40,솔빛구,145,4,1,7
41,솔빛구,147,4,2,0
42,솔빛구,148,5,3,7
43,한들구,129,3,2,
44,그외,119,3,2,15
45,그외,119,4,2,
46,별빛구,129,4,2,21
47,미르구,127,4,2,10
48,미르구,100,3,,33
49,한들구,47,2,1,23
50,미르구,176,5,2,32
51,한들구,70,2,2,17
52,별빛구,110,3,1,2
53,별빛구,141,4,1,36
54,별빛구,123,4,1,11
55,솔빛구,193,5,2,33
56,별빛구,161,5,3,31
57,별빛구,103,4,2,16
58,솔빛구,97,,2,7
59,그외,93,3,1,
60,그외,158,5,2,19
61,솔빛구,152,4,2,14
62,한들구,119,4,2,16
63,솔빛구,124,4,2,28
64,솔빛구,99,3,2,11
65,별빛구,71,2,1,37
66,솔빛구,93,2,1,15
67,미르구,162,4,2,19
68,,85,3,2,0
