home_id,frame_material,parking_slots,subway_within_1km,shops_within_500m,school_rating,deal_price_eok
1,벽돌조,1,1,11,4,25.6
2,철근콘크리트,2,0,3,7,46.3
3,,2,0,15,4,27.1
4,철근콘크리트,2,1,15,5,31.2
5,목구조,2,1,12,3,31.0
6,벽돌조,3,1,4,10,29.1
7,철근콘크리트,2,0,11,6,28.5
8,목구조,3,3,0,8,27.7
9,벽돌조,2,0,0,10,20.2
10,철근콘크리트,2,1,3,5,17.2
11,목구조,2,0,8,3,25.4
12,벽돌조,1,2,4,5,34.5
13,벽돌조,1,0,5,5,23.0
14,벽돌조,2,2,9,1,33.5
15,목구조,3,,4,5,38.8
16,목구조,2,2,8,3,21.5
17,철근콘크리트,2,1,8,7,35.2
18,,1,0,10,5,16.1
19,목구조,2,3,5,10,38.1
20,철근콘크리트,2,,2,2,35.3
21,철근콘크리트,3,1,14,7,35.5
22,철근콘크리트,3,3,11,4,31.6
23,철근콘크리트,2,0,4,2,37.7
24,목구조,2,2,6,10,33.5
25,철근콘크리트,2,1,8,4,19.1
26,목구조,1,0,13,3,25.2
27,철근콘크리트,1,2,14,8,35.5
28,철근콘크리트,1,0,15,3,24.6
29,벽돌조,2,3,14,3,29.8
30,벽돌조,1,2,0,2,17.9
31,벽돌조,2,3,0,8,43.2
32,벽돌조,2,3,6,1,28.7
33,철근콘크리트,1,2,15,7,28.6
34,철근콘크리트,2,0,9,4,24.4
35,목구조,1,2,0,7,19.6
36,벽돌조,2,1,6,6,21.4
37,철근콘크리트,1,0,7,3,18.4
38,벽돌조,1,0,14,4,27.9
39,벽돌조,2,2,10,3,31.1
40,목구조,3,3,6,8,42.9
41,목구조,3,3,15,4,36.3
42,철근콘크리트,1,1,14,8,30.4
43,벽돌조,2,2,10,3,34.2
44,철근콘크리트,2,1,7,7,23.1
45,벽돌조,2,3,11,6,22.0
46,벽돌조,2,1,4,1,32.1
47,목구조,2,3,6,3,34.6
48,벽돌조,1,1,0,7,22.0
49,철근콘크리트,1,1,4,8,20.9
50,목구조,1,1,4,6,30.8
51,철근콘크리트,2,1,15,7,32.7
52,철근콘크리트,1,1,14,6,35.9
53,목구조,2,2,2,1,36.8
54,,,2,4,1,39.0
55,벽돌조,2,1,1,3,30.0
56,철근콘크리트,2,3,10,6,44.1
57,목구조,2,2,4,5,37.2
58,목구조,2,2,10,2,26.5
59,벽돌조,2,2,11,7,22.7
60,벽돌조,1,0,6,6,22.6
61,철근콘크리트,2,1,13,7,27.6
62,목구조,1,3,6,2,36.8
63,,1,2,4,9,26.7
64,목구조,2,1,9,1,25.8
65,목구조,2,3,6,9,38.8
66,벽돌조,3,0,9,9,23.4
67,벽돌조,3,1,11,7,35.1
68,목구조,2,1,1,1,23.2
69,목구조,2,1,0,3,20.7
70,철근콘크리트,2,0,9,4,25.8
71,벽돌조,2,3,1,9,34.5
72,벽돌조,2,1,14,7,30.9
73,목구조,1,0,5,8,33.0
74,철근콘크리트,2,2,12,1,29.0
75,철근콘크리트,1,0,11,5,30.3
76,벽돌조,2,3,14,8,41.3
77,목구조,,1,2,2,24.0
78,벽돌조,2,1,7,2,24.7
