job_type,year_income_manwon,credit_point,loan_reason,loan_manwon,debt_ratio,job_years,house_type,past_overdue,approved
자영업,18042,522,생활,3945,264.5,24,자가,없음,1
정규직,7456,714,그외,5265,185.5,19,전세,있음,1
정규직,18739,893,그외,10181,,26,월세,없음,1
자영업,19869,886,주택,1994,200.9,29,월세,있음,1
정규직,18829,707,주택,4524,338.3,28,월세,없음,1
계약직,18600,365,사업,10040,308.0,31,자가,없음,1
정규직,8674,300,생활,9503,266.9,29,자가,없음,1
계약직,12203,597,,9195,182.4,28,자가,없음,1
정규직,2536,486,그외,9543,520.0,1,자가,없음,1
정규직,19102,436,주택,4890,233.4,10,전세,있음,1
계약직,,451,사업,2599,351.7,21,전세,없음,1
계약직,19301,560,생활,5025,274.4,21,월세,없음,1
미취업,12405,938,주택,7070,426.6,28,자가,있음,1
계약직,5110,596,주택,2120,41.8,6,자가,없음,1
계약직,2075,470,생활,7565,370.7,22,자가,없음,1
정규직,20152,934,주택,3323,377.5,11,월세,없음,1
정규직,5626,1000,생활,2703,404.5,13,전세,없음,1
,17076,921,주택,4794,157.0,15,월세,있음,1
자영업,,494,주택,445,355.3,28,자가,없음,1
정규직,19246,506,그외,5646,325.8,14,자가,없음,1
자영업,6924,,주택,5484,520.0,21,월세,없음,1
자영업,11173,819,주택,8098,398.5,21,전세,없음,1
자영업,19002,,그외,2068,247.3,14,전세,없음,1
미취업,18902,591,생활,4028,406.9,,자가,없음,1
미취업,3691,897,생활,7107,381.9,26,자가,없음,1
정규직,11177,513,그외,7214,237.7,11,월세,있음,1
정규직,5762,827,주택,7724,492.1,6,월세,없음,1
미취업,19995,794,그외,8185,205.5,1,전세,,1
자영업,13299,417,사업,255,284.1,8,월세,없음,1
계약직,3164,702,그외,7185,520.0,22,전세,있음,1
자영업,6470,440,그외,5515,291.0,20,월세,없음,1
정규직,5178,636,그외,5472,1.0,24,,있음,1
,11214,300,그외,6708,54.1,21,전세,없음,1
정규직,9426,489,그외,2099,31.1,0,월세,없음,1
정규직,12370,556,생활,1682,321.6,14,월세,있음,1
