line_code,material_grade,chamber_temp,chamber_pressure,chamber_humidity,vibration_level,cycle_time_sec,power_kw,worker_years,good_rate_percent
L2,M3,94.86,49.28,44.2,0.5903,110.7,199.57,4,94.84
L2,M1,94.86,49.63,60.1,0.8811,124.2,185.26,11,95.20
L1,M3,100.02,,59.6,0.8612,107.1,212.31,7,95.27
L2,M2,106.96,50.56,55.4,1.1925,109.2,166.52,6,94.10
L2,M3,97.50,51.44,52.3,1.2366,117.7,188.09,10,93.21
L1,M3,107.43,50.84,52.3,1.0335,115.0,188.34,2,91.78
L1,M1,99.09,52.62,53.3,0.6976,119.3,192.17,10,93.60
L1,M1,102.78,47.23,45.8,0.8602,127.6,191.29,1,93.93
L1,M2,100.55,51.26,57.2,0.6222,122.7,209.92,7,95.25
L1,M3,89.73,51.05,37.7,1.1744,117.0,196.33,11,94.12
L1,M2,97.33,46.54,49.1,0.8488,120.5,167.09,2,95.03
L2,M2,106.76,48.94,28.0,1.2758,119.0,191.95,4,95.47
L2,M2,99.82,47.67,36.0,0.9590,122.6,207.19,4,94.78
L1,M3,99.08,48.40,46.8,0.8088,131.0,206.73,2,93.75
L2,M2,103.16,49.64,39.8,0.6953,119.5,184.88,2,93.11
L1,M1,99.08,52.66,42.6,1.1539,121.3,179.86,11,94.52
L2,M3,98.73,49.44,48.5,0.9139,129.5,218.88,4,95.33
L2,M1,101.09,44.98,56.1,1.1854,112.7,189.57,11,95.91
L1,M3,101.36,52.93,46.9,1.2041,112.6,190.02,2,93.55
L1,M3,97.18,50.44,62.8,1.5024,111.4,215.45,11,93.41
L1,M1,97.12,51.22,28.0,0.8491,134.3,199.54,1,94.35
L2,M3,97.08,51.26,55.9,0.5792,109.6,227.55,3,95.50
L2,M1,101.11,47.13,43.3,0.7686,129.7,207.37,10,94.49
L2,M2,101.04,48.12,42.3,1.1659,132.0,211.39,8,95.22
L2,M2,109.17,,42.9,1.3422,125.4,211.31,6,95.52
L2,M3,101.41,49.71,37.7,0.5190,109.7,211.95,6,93.53
L2,M2,105.32,46.96,42.0,0.7421,135.5,179.62,1,93.31
L2,M1,108.11,48.04,57.2,0.6377,110.3,174.97,1,93.86
L2,M2,99.62,50.00,46.4,1.1626,131.1,200.16,10,93.18
L2,M3,110.59,48.73,37.7,0.9373,123.0,157.78,6,93.20
L2,M1,100.91,51.52,65.2,0.7021,124.0,203.46,4,93.32
L1,M2,89.84,,47.6,0.9775,117.9,228.20,1,93.99
L2,M3,99.40,49.23,36.8,0.9119,122.0,211.14,5,95.15
L2,M3,104.81,51.78,45.6,0.9899,116.5,205.44,7,94.30
L2,M3,99.65,53.42,57.3,1.1927,110.3,195.34,2,94.61
L1,M1,95.21,52.46,67.3,0.7722,112.8,209.40,5,93.55
L1,M3,111.77,52.59,62.0,1.0677,118.5,209.88,6,93.38
L1,M2,99.00,48.38,72.0,0.8073,130.3,161.63,2,94.67
L2,M1,111.12,46.48,64.4,1.2179,121.0,205.13,5,93.93
L1,M2,102.93,51.28,65.4,1.2368,128.8,193.56,10,95.72
L1,M3,104.28,53.18,38.7,1.1762,114.5,153.36,7,94.23
L2,M3,107.58,50.78,58.5,0.7893,132.4,199.70,5,94.18
L1,M1,102.87,52.35,50.5,0.8465,115.5,219.91,11,95.33
L2,M1,101.98,48.56,46.8,1.0011,123.5,214.47,5,93.10
L2,M3,90.55,53.25,57.3,1.1695,116.1,178.36,9,93.79
L2,M1,103.24,47.46,52.5,0.7666,121.1,182.64,8,94.55
L2,M1,98.50,48.63,55.1,0.8385,99.7,189.50,11,94.78
L2,M1,101.04,50.06,49.3,0.9717,129.3,195.09,2,93.23
L1,M1,96.79,54.21,47.7,1.0149,110.7,179.93,4,93.85
L2,M2,102.53,49.42,58.4,1.1936,138.2,189.64,3,95.03
L1,M2,95.13,51.03,36.9,0.8574,127.4,198.35,5,95.60
L1,M3,94.17,52.34,54.3,0.9735,118.0,185.75,1,94.14
L2,M1,108.20,51.03,37.8,0.9183,116.5,222.60,3,94.47
L1,M2,98.57,45.82,60.4,1.3038,119.0,185.00,5,92.04
L2,M1,106.08,55.94,47.4,1.0303,122.1,195.41,8,95.77
L2,M1,98.27,51.88,,0.9818,,217.39,3,94.47
L2,M3,91.67,49.20,60.1,0.6145,120.7,209.13,6,93.19
L1,M1,101.48,51.08,43.3,1.2009,105.6,206.82,4,96.41
L1,M3,99.41,,44.7,0.7785,110.5,149.80,2,93.77
L1,M1,97.40,50.13,28.0,0.9010,124.3,215.98,9,95.36
L2,M3,98.86,48.69,38.8,1.1410,137.8,146.80,6,94.92
L2,M2,96.04,50.41,28.0,1.0484,114.3,187.56,4,95.16
L2,M3,99.72,51.53,72.0,0.7767,124.8,172.60,1,94.54
L2,M2,100.27,49.06,32.0,1.1018,119.9,185.09,11,95.58
L2,M3,107.18,52.08,53.1,1.3443,121.8,222.95,6,94.84
L1,M1,93.85,50.87,72.0,1.2137,131.3,183.46,3,92.57
L2,M3,,48.14,68.0,1.4476,127.8,190.28,7,94.90
L2,M2,102.83,49.29,41.9,1.1628,115.2,214.28,5,92.33
L1,M2,101.55,48.74,56.0,0.9134,123.1,202.58,10,95.26
L2,M2,98.03,53.79,48.6,0.9136,136.2,223.78,10,95.73
L2,M1,93.26,48.63,36.8,0.9060,123.2,194.43,9,95.89
L1,M3,101.14,48.84,52.5,0.9903,113.2,185.07,1,93.52
