line_no,work_shift,worker_years,work_min,temp_c,humid_percent,gauge_a,gauge_b,gauge_c,is_defect
2호기,낮,13,28.7,25.9,37.5,93.93,209.45,47.42,0
3호기,낮,10,25.2,22.9,65.6,108.39,179.49,53.08,0
2호기,낮,3,33.2,20.5,40.1,97.32,209.50,42.89,0
2호기,밤,15,36.5,23.0,42.2,89.91,191.20,46.96,0
1호기,낮,6,30.6,25.1,48.9,91.41,177.77,60.03,0
2호기,밤,3,20.3,27.1,44.3,119.00,204.61,33.64,0
3호기,낮,13,30.4,25.3,32.3,100.42,225.15,53.58,0
1호기,밤,,30.5,27.5,26.5,97.67,206.65,51.37,0
1호기,낮,10,32.0,26.2,56.1,96.81,214.11,57.42,0
2호기,낮,7,29.6,27.1,54.8,99.65,198.64,46.79,0
3호기,밤,14,27.1,22.0,49.5,114.47,237.25,48.67,0
3호기,밤,2,33.0,22.2,37.6,96.71,193.56,51.63,0
3호기,밤,13,28.8,26.4,42.8,95.12,203.47,57.38,0
2호기,낮,1,38.0,22.8,44.7,98.48,194.80,40.25,0
2호기,밤,6,16.8,27.4,53.5,121.42,191.29,43.90,0
1호기,밤,15,28.8,28.7,52.5,98.39,185.14,53.33,0
2호기,밤,2,27.9,27.0,40.7,80.96,201.49,52.02,0
3호기,밤,11,31.0,24.0,49.7,101.69,221.17,52.10,0
2호기,밤,3,25.8,27.3,30.0,96.46,173.47,56.46,0
2호기,밤,16,20.9,27.4,58.8,101.43,166.32,45.71,0
1호기,낮,,41.1,27.8,67.9,103.02,216.52,49.19,0
3호기,밤,15,31.7,20.1,61.4,118.71,228.32,53.61,0
1호기,낮,6,33.1,20.6,48.5,110.70,206.47,52.97,0
3호기,밤,0,34.8,29.7,50.9,90.74,183.34,55.54,0
2호기,밤,16,24.7,30.6,39.9,105.21,189.37,49.11,0
1호기,밤,4,29.5,26.2,59.6,102.89,239.73,58.66,0
2호기,낮,,18.2,23.9,65.1,122.58,191.74,49.67,0
1호기,낮,13,27.7,30.0,42.7,91.49,186.44,46.85,0
1호기,밤,8,27.2,24.1,40.4,108.08,187.33,48.05,0
1호기,밤,9,27.2,20.4,48.4,78.25,188.65,50.97,0
2호기,낮,0,31.8,23.5,40.7,118.50,205.28,46.94,0
2호기,낮,16,27.9,16.9,57.5,87.88,192.95,48.36,0
2호기,밤,1,30.1,23.8,56.4,98.98,200.73,48.13,0
3호기,밤,11,31.8,24.4,50.5,107.90,202.40,53.84,0
3호기,밤,6,29.8,21.6,47.5,104.40,185.76,48.06,0
1호기,밤,12,25.3,24.2,32.6,105.12,196.95,60.76,0
1호기,낮,3,29.9,29.0,52.9,96.23,205.94,54.01,0
1호기,낮,9,24.9,24.2,61.7,96.01,212.74,48.91,0
3호기,밤,3,26.2,29.0,42.7,98.85,190.63,51.01,0
3호기,밤,8,30.9,26.1,47.8,91.50,210.84,57.49,0
3호기,낮,5,28.5,25.9,41.4,76.72,185.97,54.23,0
2호기,낮,9,29.3,22.5,19.9,91.21,192.15,53.53,0
