team,career_years,degree,job_rank,review_score,project_count,team_headcount,edu_hours,foreign_language,annual_pay_manwon
영업,10,고졸,선임,72.6,4,,72,고급,5232
마케팅,21,,수석,77.0,12,3,29,고급,8341
연구개발,25,학사,수석,63.4,9,0,52,초급,8751
경영지원,4,학사,사원,80.7,14,13,26,고급,4793
영업,13,석사,책임,67.6,3,5,24,고급,7837
경영지원,2,학사,사원,91.0,17,9,52,중급,4404
마케팅,9,석사,선임,85.7,12,1,46,중급,6598
영업,15,고졸,책임,90.8,17,14,59,중급,6662
경영지원,10,석사,선임,86.8,17,0,82,초급,5859
연구개발,23,학사,수석,92.0,8,2,26,초급,9711
영업,8,학사,선임,87.8,16,4,10,고급,5959
영업,0,석사,사원,70.2,17,6,13,초급,4586
영업,20,학사,수석,80.2,15,14,25,중급,8802
경영지원,2,석사,사원,80.1,2,2,29,중급,4378
영업,25,학사,수석,,2,7,12,고급,9526
연구개발,15,학사,책임,95.1,8,5,55,중급,7754
영업,25,학사,사원,79.1,2,0,72,고급,8743
영업,3,학사,사원,73.6,3,7,10,초급,5158
영업,12,석사,책임,76.4,18,12,55,중급,8115
연구개발,17,학사,책임,63.2,3,7,51,중급,7383
경영지원,5,박사,수석,64.9,13,6,81,중급,6547
경영지원,17,학사,책임,78.7,20,7,96,중급,8834
연구개발,1,학사,사원,63.4,14,6,65,중급,3622
경영지원,11,고졸,책임,96.0,2,10,24,고급,6102
경영지원,1,학사,,81.1,7,7,74,초급,4592
연구개발,21,학사,수석,89.1,11,1,9,초급,8803
마케팅,21,학사,수석,97.0,7,2,9,초급,7862
영업,9,석사,선임,81.5,19,8,9,고급,5814
경영지원,20,학사,수석,76.3,12,15,81,고급,8254
마케팅,19,,수석,78.7,13,2,42,중급,8467
연구개발,11,석사,책임,80.4,3,6,31,초급,7199
연구개발,5,석사,사원,81.8,2,2,73,초급,5666
경영지원,11,석사,책임,96.7,14,4,77,중급,7666
마케팅,7,석사,선임,83.9,2,6,96,고급,5514
경영지원,22,석사,수석,95.7,20,14,56,초급,8968
경영지원,13,석사,책임,88.5,3,15,81,중급,6578
마케팅,20,학사,수석,66.4,21,3,44,고급,8407
경영지원,4,학사,사원,84.3,13,6,97,고급,5539
영업,16,학사,책임,75.5,2,0,45,초급,7291
마케팅,8,학사,선임,71.2,3,,28,초급,4654
마케팅,0,석사,사원,73.4,16,15,27,고급,4976
영업,6,학사,책임,88.4,1,8,74,초급,6164
경영지원,23,석사,,58.0,12,15,49,초급,9423
경영지원,20,석사,선임,68.7,1,1,39,중급,7436
경영지원,9,석사,선임,75.8,12,2,93,중급,6230
마케팅,15,박사,책임,86.5,9,1,72,초급,8502
영업,24,석사,수석,97.2,2,9,71,초급,9127
경영지원,6,학사,선임,86.9,12,14,100,중급,4867
마케팅,17,고졸,선임,83.3,11,4,97,중급,6634
연구개발,14,박사,책임,85.3,,11,30,중급,7816
연구개발,0,석사,,100.0,12,7,96,고급,5861
마케팅,17,학사,책임,79.2,8,0,43,초급,7736
연구개발,15,학사,책임,,20,11,11,고급,7742
영업,0,학사,사원,61.1,21,4,69,고급,4771
마케팅,6,학사,사원,60.0,5,9,22,초급,4984
경영지원,1,학사,사원,67.9,8,15,34,초급,4445
마케팅,25,석사,수석,99.7,8,1,33,초급,9541
마케팅,10,고졸,선임,94.5,7,12,89,중급,5911
연구개발,11,석사,책임,78.7,21,5,62,초급,7558
연구개발,0,학사,사원,65.0,3,,79,초급,4186
마케팅,20,박사,수석,93.8,17,8,39,중급,9988
연구개발,23,석사,수석,76.5,5,0,94,고급,9842
영업,20,석사,수석,75.9,19,13,32,초급,8550
연구개발,13,석사,책임,85.0,11,12,65,고급,7423
마케팅,22,석사,수석,89.7,9,10,59,중급,8545
마케팅,4,박사,사원,84.9,20,9,15,중급,6446
영업,17,학사,책임,78.5,20,13,46,중급,7782
마케팅,10,학사,수석,70.4,4,4,20,고급,7385
연구개발,13,석사,책임,73.7,10,0,35,고급,7756
마케팅,9,박사,선임,81.7,19,7,13,초급,6507
마케팅,13,학사,선임,58.7,5,11,16,초급,6233
영업,21,학사,사원,95.2,9,12,16,초급,8777
연구개발,14,석사,책임,95.9,7,12,28,고급,8348
경영지원,10,박사,선임,76.5,10,12,27,초급,5891
경영지원,5,석사,선임,73.2,3,6,29,고급,5663
영업,2,학사,사원,75.3,12,1,78,고급,4785
연구개발,13,학사,책임,58.4,18,2,9,고급,7039
영업,7,학사,선임,96.5,20,5,11,고급,5529
연구개발,13,박사,책임,73.3,13,3,61,고급,8196
마케팅,11,,수석,100.0,7,14,97,초급,7004
마케팅,25,박사,수석,85.5,15,1,56,고급,10484
마케팅,14,고졸,책임,86.2,16,14,90,중급,6392
경영지원,21,학사,수석,70.7,7,10,85,중급,7934
마케팅,20,박사,수석,79.2,20,9,40,중급,9354
경영지원,5,학사,사원,87.2,2,1,85,고급,4781
영업,20,학사,선임,96.6,17,10,21,중급,8024
마케팅,23,학사,수석,88.1,18,14,71,중급,9515
마케팅,4,학사,사원,100.0,12,0,87,초급,4797
영업,20,석사,사원,74.9,3,7,48,중급,8041
마케팅,24,학사,수석,82.6,10,2,38,중급,9057
마케팅,16,박사,책임,91.0,6,10,79,고급,8871
영업,21,학사,수석,78.4,8,4,81,중급,8577
마케팅,3,석사,사원,74.8,6,1,60,고급,5435
경영지원,19,학사,수석,76.1,,10,66,고급,8280
마케팅,11,학사,책임,82.8,19,15,22,중급,6165
연구개발,2,학사,사원,85.8,4,,19,초급,4849
경영지원,19,고졸,수석,74.7,19,,29,초급,8342
마케팅,15,석사,책임,87.4,,10,34,고급,7372
영업,8,석사,사원,98.9,2,11,51,초급,5612
경영지원,18,고졸,선임,78.0,18,3,84,초급,6628
연구개발,9,학사,선임,58.1,10,1,35,초급,5444
마케팅,1,학사,사원,63.4,9,5,92,중급,3716
연구개발,6,학사,선임,63.9,9,9,49,고급,6057
영업,13,석사,책임,75.8,1,10,47,중급,6685
경영지원,14,학사,책임,97.6,21,2,66,초급,7505
영업,13,석사,책임,85.9,17,1,77,고급,8576
마케팅,19,,,98.0,8,1,11,고급,8370
영업,13,학사,책임,70.0,11,3,76,고급,7211
마케팅,13,석사,책임,74.2,8,1,35,고급,7510
마케팅,3,석사,사원,66.7,17,6,21,중급,5277
마케팅,15,석사,책임,92.2,13,7,28,고급,8572
마케팅,4,석사,사원,100.0,15,1,93,고급,5427
영업,10,학사,선임,68.0,19,14,82,초급,6711
마케팅,12,학사,책임,80.8,18,10,93,고급,7367
마케팅,1,학사,사원,86.9,6,9,10,초급,4194
마케팅,18,학사,수석,65.2,3,11,27,고급,8317
경영지원,17,석사,책임,61.8,11,4,25,초급,8580
경영지원,2,석사,수석,87.1,19,1,57,초급,5896
영업,13,고졸,선임,88.4,18,,67,초급,6205
,22,고졸,수석,91.6,3,9,58,중급,8554
영업,24,박사,수석,87.4,8,,11,초급,10884
영업,14,학사,책임,82.1,9,11,17,초급,7245
영업,0,석사,사원,62.4,5,15,96,고급,5364
마케팅,25,박사,수석,91.3,17,15,22,초급,9489
연구개발,4,,사원,91.4,11,2,58,초급,4524
연구개발,16,고졸,책임,90.7,5,10,86,중급,7506
경영지원,5,석사,책임,70.6,13,12,44,고급,7091
연구개발,20,박사,수석,64.7,5,8,48,고급,9340
마케팅,19,학사,수석,61.7,10,13,47,고급,8983
연구개발,3,석사,사원,100.0,9,3,34,중급,5629
경영지원,5,석사,선임,82.7,7,10,9,중급,6749
경영지원,25,,사원,74.5,2,13,21,고급,7742
연구개발,25,학사,수석,,15,14,78,중급,9432
연구개발,25,학사,수석,86.3,1,13,89,중급,9447
경영지원,18,학사,수석,89.5,8,2,90,중급,8308
영업,16,학사,선임,90.3,16,3,84,중급,7189
영업,19,박사,,72.3,15,9,94,초급,9399
경영지원,25,학사,수석,88.6,19,13,91,중급,9501
마케팅,12,학사,책임,96.7,7,10,53,중급,6662
마케팅,16,학사,책임,64.4,21,8,32,초급,7617
영업,22,석사,수석,78.6,1,6,10,초급,9371
영업,24,학사,수석,88.1,11,6,51,고급,9686
경영지원,24,학사,수석,74.2,16,4,64,중급,8106
경영지원,9,석사,선임,67.8,21,7,18,초급,5584
연구개발,10,학사,선임,62.5,9,1,36,중급,6756
마케팅,17,학사,사원,76.5,1,3,98,초급,6414
마케팅,1,학사,사원,80.9,3,15,10,고급,4455
연구개발,4,학사,책임,84.8,20,7,61,고급,6712
마케팅,22,학사,수석,60.7,9,1,95,고급,9149
경영지원,8,석사,선임,80.7,19,15,41,고급,7152
경영지원,19,학사,수석,59.4,13,9,60,고급,8983
경영지원,7,,선임,69.8,7,5,38,초급,5880
마케팅,13,석사,책임,74.9,10,4,89,초급,7025
영업,4,학사,사원,87.0,4,11,86,초급,4820
마케팅,8,학사,선임,74.2,13,10,9,고급,5091
경영지원,6,학사,선임,79.5,11,10,39,고급,5425
마케팅,23,고졸,사원,69.3,10,5,34,고급,7699
영업,18,박사,수석,100.0,9,12,88,초급,9455
마케팅,24,석사,수석,85.1,10,4,79,고급,10152
영업,11,학사,책임,69.4,10,15,92,중급,6212
경영지원,20,학사,수석,65.6,17,2,65,고급,8300
영업,5,학사,선임,83.3,1,12,16,초급,5188
영업,1,학사,사원,82.9,19,15,69,고급,5358
마케팅,25,학사,수석,80.1,8,15,32,초급,9816
,21,학사,수석,85.0,15,10,92,고급,9319
마케팅,23,학사,수석,83.1,13,14,53,초급,9424
마케팅,8,박사,선임,73.8,10,14,59,고급,6379
연구개발,18,학사,수석,69.5,,8,49,초급,8531
마케팅,18,석사,수석,63.4,6,2,84,초급,8896
마케팅,10,석사,선임,78.0,6,8,91,초급,6110
,10,학사,,82.8,17,7,28,중급,6580
마케팅,23,석사,수석,77.9,14,15,31,고급,9405
경영지원,6,학사,선임,79.9,6,4,49,고급,5946
경영지원,6,학사,선임,98.1,6,14,96,고급,6575
경영지원,0,학사,선임,84.8,16,10,49,중급,5291
영업,18,석사,수석,67.5,12,15,14,중급,8545
경영지원,17,석사,선임,75.4,10,9,75,중급,7660
경영지원,17,석사,책임,90.4,8,12,74,고급,8649
영업,6,박사,선임,73.2,17,8,31,고급,6128
경영지원,17,박사,사원,70.4,10,1,15,초급,7662
영업,16,고졸,책임,83.5,12,8,32,초급,7031
경영지원,19,석사,수석,82.3,,0,93,중급,8159
,20,석사,수석,82.1,4,3,77,고급,9084
연구개발,10,석사,선임,87.2,8,3,35,중급,7252
경영지원,5,석사,선임,82.3,17,8,8,중급,5682
경영지원,12,학사,책임,94.2,18,2,15,중급,7455
경영지원,12,석사,책임,72.6,7,,73,초급,7227
경영지원,2,학사,사원,67.6,4,14,22,고급,5537
경영지원,4,석사,사원,58.0,17,0,71,고급,5179
영업,12,학사,책임,75.2,20,4,79,중급,6962
마케팅,15,학사,책임,87.7,11,13,8,중급,7420
마케팅,24,학사,사원,76.4,18,14,36,초급,7368
영업,12,,책임,100.0,21,9,13,고급,7194
연구개발,24,학사,수석,90.8,12,,46,고급,9569
경영지원,14,학사,수석,100.0,9,3,12,중급,8039
경영지원,8,학사,선임,,13,5,75,중급,5267
경영지원,10,학사,선임,82.5,19,11,70,초급,6394
마케팅,21,학사,수석,72.0,6,7,24,중급,8336
,3,박사,수석,78.9,17,11,16,중급,6532
연구개발,7,박사,선임,96.3,,15,42,고급,5824
경영지원,19,학사,수석,70.7,19,,96,고급,7672
연구개발,1,학사,사원,81.2,10,7,27,고급,4246
경영지원,24,석사,수석,87.7,6,8,54,중급,9602
연구개발,13,학사,책임,85.6,14,10,38,초급,6563
경영지원,12,석사,책임,76.9,12,4,89,고급,7622
경영지원,19,석사,수석,81.1,14,3,82,초급,8684
경영지원,0,고졸,사원,84.3,8,11,16,초급,3600
경영지원,18,고졸,수석,77.4,8,8,41,고급,7530
연구개발,2,고졸,사원,91.9,1,7,63,초급,4197
경영지원,6,석사,선임,70.3,8,3,15,중급,6221
마케팅,19,고졸,수석,86.8,18,1,15,초급,7953
영업,5,학사,선임,66.4,3,12,42,고급,6052
연구개발,24,석사,수석,85.7,16,5,51,고급,11165
연구개발,24,학사,책임,67.4,3,13,93,초급,8098
연구개발,25,고졸,수석,84.4,12,0,81,중급,9897
영업,0,학사,수석,69.6,17,14,94,중급,5493
마케팅,0,학사,사원,77.1,5,10,43,중급,3907
마케팅,20,학사,수석,62.2,20,5,84,초급,8237
경영지원,23,박사,,75.1,16,6,67,초급,8545
경영지원,12,석사,책임,68.4,16,2,88,초급,6288
연구개발,4,학사,사원,75.8,18,11,97,중급,5268
연구개발,4,석사,사원,83.8,,10,73,고급,5592
영업,13,학사,책임,90.5,5,2,18,고급,7530
경영지원,1,석사,사원,68.6,4,14,86,고급,5324
경영지원,23,고졸,책임,65.6,18,14,36,고급,7936
마케팅,17,학사,,89.4,1,7,91,고급,8138
마케팅,10,학사,선임,80.2,12,12,88,초급,5828
영업,12,고졸,책임,71.9,19,5,13,중급,6647
연구개발,12,석사,책임,83.5,15,10,43,초급,7288
연구개발,18,고졸,수석,88.4,10,1,34,중급,7561
마케팅,8,고졸,선임,83.0,19,14,29,초급,5325
연구개발,25,석사,수석,80.2,20,0,30,중급,9863
경영지원,18,학사,수석,89.2,20,11,98,초급,8578
마케팅,8,학사,선임,78.3,6,10,65,중급,5999
연구개발,22,석사,수석,94.6,2,15,14,초급,10812
경영지원,9,,사원,77.3,,7,91,초급,4667
마케팅,0,고졸,사원,58.0,,9,58,중급,3600
경영지원,6,박사,선임,74.4,15,3,63,고급,7214
연구개발,24,석사,수석,72.1,8,10,94,초급,9362
영업,15,학사,책임,95.9,18,9,98,초급,7359
마케팅,3,학사,수석,100.0,12,7,24,초급,6140
경영지원,2,석사,사원,87.7,21,10,38,초급,5056
연구개발,2,석사,사원,68.8,14,5,97,초급,5061
