months_joined,plan_term,pay_method,net_product,monthly_fee_won,total_paid_won,data_gb,cs_calls,addon_count,left_service
11,무약정,지류고지서,,67716,727687,405,6,2,1
67,24개월,카드,없음,89118,미확인,129,0,1,0
55,24개월,계좌이체,광랜,114903,6549214,121,7,2,0
26,24개월,계좌이체,광랜,110910,3006423,373,1,5,1
24,24개월,지류고지서,없음,78698,1922625,373,10,3,1
38,12개월,계좌이체,없음,71396,2653608,246,3,3,0
37,24개월,계좌이체,광랜,63531,2553605,289,4,3,0
58,무약정,지류고지서,광랜,69731,4109808,138,7,,0
4,24개월,카드,광랜,100615,421661,474,6,1,1
11,24개월,계좌이체,없음,111693,1242890,50,6,5,0
68,24개월,지류고지서,기가,81586,5595873,251,1,4,1
46,무약정,계좌이체,기가,86750,3414134,30,10,1,1
63,무약정,카드,없음,97243,5359354,248,8,2,0
47,무약정,,없음,62499,2941134,414,0,1,1
19,12개월,계좌이체,없음,33674,796172,306,0,2,1
62,24개월,카드,광랜,125538,8544589,469,2,0,0
8,24개월,계좌이체,기가,65656,408070,220,0,0,1
65,무약정,카드,기가,80440,5154461,87,10,4,0
32,24개월,카드,기가,100865,3053298,218,2,4,0
51,무약정,카드,없음,83635,4112329,278,2,3,1
52,12개월,계좌이체,광랜,107300,5969783,125,4,4,1
35,무약정,지류고지서,없음,65148,2140496,355,,5,0
57,24개월,카드,광랜,30700,1693452,418,6,0,0
72,12개월,지류고지서,광랜,78883,미확인,185,5,2,0
73,24개월,지류고지서,기가,78931,6383692,335,6,1,0
1,무약정,카드,광랜,90264,83574,228,9,3,1
69,24개월,카드,기가,86074,6906107,113,7,2,0
8,12개월,카드,기가,19000,155761,352,5,4,0
51,24개월,지류고지서,광랜,92181,4582738,480,6,4,0
29,24개월,카드,없음,58714,1470494,342,8,3,1
21,무약정,계좌이체,광랜,84030,1777411,268,7,3,1
55,무약정,카드,기가,44079,2238610,,3,4,0
48,12개월,지류고지서,광랜,66216,3386942,373,3,0,1
69,24개월,계좌이체,없음,63986,4009596,457,2,3,0
73,24개월,카드,없음,101352,8093585,418,3,5,0
53,12개월,계좌이체,없음,52897,2544330,399,4,1,0
32,12개월,계좌이체,없음,103418,2914891,291,10,,1
10,무약정,카드,없음,50668,417047,175,4,3,1
72,무약정,지류고지서,광랜,84294,미확인,161,7,5,0
17,무약정,지류고지서,없음,19000,286084,86,3,3,0
16,무약정,카드,광랜,63996,1049657,192,8,5,1
72,무약정,계좌이체,광랜,120981,9123292,260,2,1,0
35,12개월,계좌이체,없음,44306,1635978,446,6,4,1
72,12개월,지류고지서,없음,142412,9867698,281,2,0,0
68,,카드,광랜,58947,3657098,60,10,5,0
52,24개월,계좌이체,광랜,64564,3263356,105,4,4,0
26,12개월,지류고지서,기가,70563,1883634,107,4,4,0
68,24개월,지류고지서,기가,108129,7191790,249,8,0,0
22,24개월,카드,기가,71416,1637735,205,0,0,0
68,무약정,지류고지서,기가,123984,7558332,229,0,5,0
24,무약정,,없음,40238,1038749,497,1,0,1
67,무약정,지류고지서,광랜,108602,6864679,45,2,3,0
23,12개월,카드,광랜,59930,1268829,98,0,3,0
47,24개월,카드,광랜,76427,3407669,374,6,3,1
65,24개월,지류고지서,없음,67458,4170413,28,1,5,0
17,무약정,지류고지서,광랜,79757,1350524,331,7,5,1
31,12개월,계좌이체,광랜,136929,4295885,264,2,3,1
57,무약정,계좌이체,,61676,3347460,27,3,0,0
6,12개월,카드,기가,53220,337551,267,5,2,1
74,12개월,계좌이체,광랜,38201,3428428,153,5,4,0
48,무약정,지류고지서,기가,84274,2858745,62,6,5,0
